재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherCurrentFinancialLiabilities	               기타유동금융부채	903,443,380	1,256,013,590	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherLiabilities	               기타유동부채	104,587,377	249,031,087	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Liabilities	            부채총계	18,219,191,732	18,989,846,957	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_NoncurrentLiabilities	            비유동부채	7,960,036,872	8,469,194,584	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	entity00778235_NonControllingInterestsEquityLiabilitiesOfNonCurrentLiabilitiesOfLiabilitiesAbstract	               비지배지분부채	3,796,665,160	4,225,075,141	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DeferredTaxLiabilities	               이연법인세부채	3,875,654,925	3,893,522,108	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherNoncurrentFinancialLiabilities	               기타비유동금융부채	212,904,959	276,483,734	
 재무상태표, 기타 - 연결	[246690]	TS인베스트먼트	코스닥시장상장법인	642	신탁업 및 집합 투자업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Provisions	               충당부채	74,811,828	74,113,601	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Assets	         자산총계	1,148,862,448,795	1,109,875,107,863	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_CashAndCashEquivalents	         현금및현금성자산	70,942,032,128	43,206,214,312	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	23,707,237,563	21,666,348,021	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	1,022,645,422,164	1,013,081,335,491	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	150,539,240	153,181,240	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates	         관계기업투자자산	30,133,024,859	30,300,707,706	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	98,285,288	41,553,770	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	1,185,907,553	1,425,767,323	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_Equity	            자본총계	356,277,678,271	342,356,661,462	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	dart_CapitalAdjustments	               자본조정	1,507,035,090	-8,017,968,810	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	dart_CapitalSurplus	               자본잉여금	31,863,455,346	31,291,158,786	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IssuedCapital	               자본금	55,027,350,000	54,667,350,000	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RetainedEarnings	               이익잉여금	267,879,837,835	264,416,121,486	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_EquityAndLiabilities	         자본과 부채총계	1,148,862,448,795	1,109,875,107,863	
 재무상태표, 기타 - 연결	[100790]	미래에셋벤처투자	코스닥시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	entity00340096_LiabilitiesOfNonControllingInterestsOfLiabilitiesAbstract	            비지배지분부채	745,816,623,091	718,258,793,088	
